entity_id,legal_name,country,industry,incorporation_date,source_system,risk_rating
1,Joseph and Sons,United States,Insurance,2015-08-15,ERP,Medium
2,Rivera Inc,United States,Asset Management,2008-05-09,ERP,Medium
3,Martin and Sons,Japan,Asset Management,2013-06-18,PartnerFeed,Low
4,Kidd-Frazier,Singapore,Banking,2004-02-05,CRM,Low
5,Lee Group,United Kingdom,Asset Management,2017-01-06,RegSys,High
6,"Wilson, Carter and Montoya",Japan,Manufacturing,2017-01-19,CRM,Low
7,Kline LLC,India,Banking,1998-10-31,PartnerFeed,Medium
8,Holmes LLC,Japan,Asset Management,2020-03-01,PartnerFeed,Medium
9,"Taylor, Thomas and Cherry",United Kingdom,Asset Management,2025-07-07,CRM,Low
10,Shields and Sons,India,Manufacturing,2021-02-06,RegSys,Low
11,White-Garza,France,Asset Management,2021-01-05,ERP,High
12,Cruz-Miller,United States,Manufacturing,2023-03-10,CRM,High
13,Thomas-Hicks,Germany,Technology,2009-07-22,ERP,Medium
14,Davis Inc,India,Asset Management,2011-11-17,ERP,Medium
15,Matthews-Valdez,Germany,Technology,2003-05-14,ERP,Medium
16,"Johnston, Ramos and Tran",Germany,Asset Management,1997-10-11,PartnerFeed,Medium
17,Thomas Ltd,Japan,Technology,1996-09-25,ERP,Medium
18,"Huynh, Porter and Barnes",Germany,Asset Management,2016-10-04,RegSys,Medium
19,"Harris, Guerra and Johnson",United Kingdom,Banking,2000-05-18,PartnerFeed,Low
20,"Forbes, Willis and Nicholson",United States,Insurance,1999-07-24,RegSys,Low
21,Nelson PLC,France,Banking,2008-12-15,RegSys,High
22,Tran-Wright,Switzerland,Technology,2015-03-21,CRM,High
23,Kennedy and Sons,United States,Insurance,2003-01-08,PartnerFeed,Low
24,Anderson-Andrade,India,Insurance,2002-09-27,RegSys,Low
25,"Torres, Edwards and Parker",Singapore,Banking,2005-03-02,RegSys,High
26,Carney PLC,United Kingdom,Manufacturing,2000-04-02,RegSys,High
27,Rodriguez-Leblanc,India,Technology,2021-08-23,PartnerFeed,High
28,Brown-Gallagher,France,Technology,2024-08-06,RegSys,Medium
29,Thomas LLC,Japan,Technology,2003-01-27,PartnerFeed,High
30,Kaiser and Sons,Japan,Insurance,2009-09-10,RegSys,Medium
31,"Becker, Martinez and Daniels",India,Banking,2012-01-16,CRM,High
32,Torres-Hanson,United States,Manufacturing,2010-01-12,CRM,High
33,Fischer-Aguirre,India,Asset Management,2019-04-16,CRM,High
34,Keller Inc,United Kingdom,Manufacturing,2017-12-01,RegSys,Medium
35,Mccarthy Inc,India,Insurance,2001-08-26,CRM,Low
36,"Smith, Kline and Weber",India,Asset Management,2025-10-03,ERP,Low
37,"Lang, West and Santiago",Germany,Asset Management,2016-06-29,CRM,Low
38,"Robinson, Horn and Flowers",India,Insurance,2023-10-01,RegSys,Medium
39,Kramer-Obrien,France,Asset Management,2000-11-05,RegSys,High
40,Smith-Thomas,Japan,Manufacturing,2005-11-15,PartnerFeed,High
41,"Long, White and Allen",France,Manufacturing,2021-03-20,RegSys,High
42,Allen-Baker,India,Manufacturing,1996-09-29,CRM,High
43,Cantu-Crawford,India,Technology,2012-05-18,PartnerFeed,High
44,Rivera-Fisher,Germany,Manufacturing,2019-08-14,CRM,High
45,Brown-Smith,United States,Technology,2002-12-06,ERP,High
46,"Aguilar, Hughes and Phillips",Japan,Technology,2008-05-02,PartnerFeed,Medium
47,Kelly LLC,India,Banking,2005-01-10,ERP,Low
48,Turner-Dixon,United States,Manufacturing,2014-01-10,RegSys,High
49,"Smith, Kim and Perez",France,Asset Management,2000-11-20,PartnerFeed,High
50,Harris-Davidson,Switzerland,Manufacturing,2021-01-19,RegSys,Medium
51,"Smith, Johnson and Anderson",Switzerland,Manufacturing,2023-05-23,ERP,High
52,Page Inc,Switzerland,Manufacturing,1999-08-19,RegSys,Low
53,Compton PLC,France,Technology,2010-12-27,RegSys,Medium
54,Clark-Walker,United States,Asset Management,2018-07-17,RegSys,High
55,Ortiz PLC,Singapore,Technology,2017-08-29,PartnerFeed,Low
56,"Fuller, Dudley and Smith",Japan,Banking,2011-12-31,PartnerFeed,High
57,"Dennis, Anderson and Jones",France,Manufacturing,2015-04-17,RegSys,Medium
58,"Davis, Norris and Lopez",United States,Manufacturing,2004-04-14,RegSys,Low
59,"White, Cortez and Young",United States,Banking,2021-04-25,ERP,Low
60,"Kennedy, Torres and Griffin",India,Insurance,2002-09-03,RegSys,High
61,"Mendez, Osborne and Smith",Singapore,Manufacturing,2021-04-08,PartnerFeed,Low
62,"Smith, Hurley and Marshall",United States,Manufacturing,2021-05-06,PartnerFeed,Low
63,Robbins Ltd,Switzerland,Insurance,2000-10-26,CRM,High
64,Ellis and Sons,Switzerland,Insurance,2008-01-22,PartnerFeed,Low
65,Daniels-Lawson,Singapore,Banking,2022-04-04,RegSys,Low
66,Huang Group,India,Banking,2023-11-05,ERP,Low
67,"Grimes, Cowan and Nichols",Germany,Insurance,2003-07-31,RegSys,Medium
68,"Grant, Morton and Ibarra",Singapore,Banking,2006-05-18,ERP,Medium
69,Jones-Villa,Switzerland,Manufacturing,2011-02-14,RegSys,High
70,Mitchell-Smith,Singapore,Technology,2019-09-08,RegSys,High
71,Brady-Garcia,United States,Banking,2013-06-01,PartnerFeed,Medium
72,"Bruce, Dawson and Williams",Japan,Technology,2000-04-19,RegSys,Low
73,Mason-Salazar,United States,Asset Management,2024-04-07,ERP,High
74,Bryant and Sons,United States,Banking,1997-05-31,CRM,High
75,Mercado-Decker,United States,Technology,2017-07-09,ERP,Low
76,Miller-Horne,Singapore,Banking,2014-04-30,CRM,Medium
77,"Mcmahon, Melendez and Payne",United States,Banking,2008-06-03,CRM,High
78,Meyer Group,Switzerland,Banking,2021-07-19,CRM,Low
79,Booker-Golden,Japan,Insurance,2006-07-10,ERP,Low
80,"Gill, Terry and Walters",Singapore,Banking,2003-03-12,RegSys,High
81,"Kelley, Faulkner and Howard",United Kingdom,Banking,1997-02-15,CRM,High
82,Williams Group,United States,Manufacturing,2005-12-27,CRM,Medium
83,Taylor Ltd,Japan,Manufacturing,2026-01-01,CRM,Low
84,Walker Ltd,Switzerland,Asset Management,1998-07-31,RegSys,Low
85,"Knight, Knox and Campbell",Japan,Insurance,2011-06-12,ERP,High
