entity_id,resolution_days,owner_team,status,sla_target
2971,6,Business Analysts,open,7
2906,3,Data Ops,open,3
2893,12,Data Stewards,open,7
3671,5,Data Stewards,open,14
1726,9,Data Ops,closed,7
6803,5,Business Analysts,open,3
7887,4,Data Stewards,closed,3
6397,4,Data Stewards,open,3
3175,4,Data Ops,closed,3
5592,2,Platform Team,open,14
3391,8,Data Stewards,closed,14
7944,6,Data Ops,open,5
4739,2,Platform Team,open,14
4927,10,Data Stewards,closed,5
6869,7,Platform Team,closed,5
2363,5,Data Ops,open,5
3825,11,Platform Team,open,7
1484,6,Platform Team,open,3
6896,3,Data Ops,closed,3
9112,10,Platform Team,closed,7
3514,0,Business Analysts,closed,3
8941,4,Platform Team,open,3
7097,8,Data Ops,open,14
8311,7,Platform Team,open,14
4984,0,Data Ops,open,7
2469,7,Platform Team,open,5
6753,13,Data Stewards,closed,5
7871,1,Data Ops,open,14
6160,10,Business Analysts,open,7
4861,7,Data Ops,closed,5
2291,6,Platform Team,closed,3
7266,9,Data Ops,open,5
2616,10,Business Analysts,closed,14
4199,4,Data Ops,closed,5
2169,6,Business Analysts,closed,5
9751,3,Data Stewards,closed,7
6348,11,Data Stewards,open,3
5843,8,Data Stewards,closed,5
7056,5,Data Ops,closed,14
3179,3,Data Stewards,open,5
5,1,Business Analysts,open,7
9246,8,Data Stewards,open,5
4102,0,Business Analysts,closed,5
1524,6,Data Stewards,closed,3
5808,3,Data Stewards,open,14
9673,6,Data Ops,closed,14
4856,10,Platform Team,open,14
4572,0,Business Analysts,open,14
2481,4,Data Ops,closed,14
880,1,Data Ops,closed,3
7321,0,Platform Team,closed,7
5141,2,Data Ops,closed,3
4179,7,Data Ops,closed,3
1399,4,Data Ops,open,7
8175,2,Platform Team,open,14
4256,2,Business Analysts,open,7
4028,7,Platform Team,closed,7
5826,8,Data Stewards,closed,7
2943,1,Business Analysts,closed,3
6327,7,Business Analysts,open,3
2502,6,Data Stewards,closed,3
5589,0,Business Analysts,closed,5
5337,8,Data Ops,open,3
7409,8,Business Analysts,closed,7
2126,4,Business Analysts,closed,5
7918,5,Data Stewards,open,3
7225,5,Business Analysts,closed,14
4985,11,Data Stewards,open,3
5336,5,Data Ops,open,3
1249,5,Data Stewards,closed,5
3092,2,Business Analysts,closed,7
8948,0,Platform Team,closed,14
2936,7,Business Analysts,open,5
5344,7,Business Analysts,closed,14
1269,12,Business Analysts,closed,3
1641,1,Data Stewards,closed,3
2769,3,Business Analysts,closed,14
4653,1,Platform Team,closed,3
3414,7,Business Analysts,closed,3
1113,8,Data Stewards,closed,14
2857,9,Data Stewards,open,5
8877,7,Platform Team,closed,7
4641,9,Business Analysts,open,7
6016,8,Data Stewards,closed,14
2382,11,Data Ops,closed,7
1953,10,Data Ops,closed,5
1414,6,Platform Team,open,3
